Trial	CURRENT_FIX_INTEREST_AREA_ID	Surprisal
6	35	0.8450515
6	36	3.12968
6	37	1.47238
6	38	0.557163
6	39	0.811007
6	40	3.80196
6	41	0.758394
6	42	1.1875
6	43	0.889624
6	44	1.2349
6	45	1.41809
6	46	0.7037715
6	47	1.1875
6	48	0.985268
6	49	1.34256
6	50	2.06636
6	51	1.26331
6	52	3.14196
6	53	0.0379263
6	54	0.293563
6	55	1.57145
6	56	1.44864
6	57	1.104425
6	58	1.1875
6	59	2.30434
6	60	3.75227
6	61	0.822365
6	62	1.06944
6	63	0.8243
6	64	2.06179
6	65	0.98675
6	66	3.11643
6	67	2.19311
6	68	1.00551
6	69	1.98026
6	70	3.85277
6	71	1.34009
6	72	1.1997
6	73	0.644206
6	74	0.332853
6	75	1.61734
6	76	1.40644
6	77	1.313302
6	78	0.699607
6	79	1.68403
6	80	3.91685
6	81	1.1277925
6	82	1.75554
6	83	0.831601
6	84	0.464849
6	85	0.349913
6	86	1.57145
6	87	1.872635
6	88	0.644206
6	89	0.332853
6	90	1.57145
6	91	0.973722
6	92	0.7282825
6	93	1.1875
6	94	0.889624
6	95	1.76149
6	96	0.628105
6	97	0.932241
